Title,Author,ID,Date_updated,Rating,Pairing,Warning,Complete,Language,Word_count,Num_chapters,Num_comments,Num_kudos,Num_bookmarks,Num_hits,Tags,Summary
Wolf Children,Get_below_my_line_of_vision (orphan_account),24492097,01 Jun 2020,General Audiences,"Gen, M/M, F/M",Choose Not To Use Archive Warnings,Work in Progress,English,"3,581",1,3,13,2,209,"
Creator Chose Not To Use Archive WarningsSirius Black/Remus Lupin Sirius Black & Harry Potter Sirius Black & Ron Weasley Hermione Granger/Ron WeasleySirius Black James Potter Remus Lupin Harry Potter Ron Weasley Hermione GrangerFluff Alternate Universe - College/University Alternate Universe Werewolves Ron and Harry are brothers Sirius gets to be a father Post Mpreg
","
Sirius and Remus raise their children: Harry and Ron. The children have to choose if they want to be a wolf or a human.
"
10 times Hermione Granger slept with Draco Malfoy,closetfangirl98,24492139,11 Jun 2020,Mature,F/M,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",Complete Work,English,"1,440",10,19,275,18,6461,"
Creator Chose Not To Use Archive Warnings No Archive Warnings ApplyHermione Granger/Draco MalfoyHermione Granger Draco MalfoyDrabbles Fluff Quick Read Short Story Enemies to Friends to Lovers Casual Sex
","
10 short drabbles about the times Hermione Granger slept with Draco Malfoy.
"
Hagrid's Future,Severus_Winchester,24492160,01 Jun 2020,General Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,649,1,0,19,1,222,"
Creator Chose Not To Use Archive WarningsHarry Potter/Ginny Weasley Hermione Granger/Ron WeasleyHarry Potter Ron Weasley Hermione Granger Ginny Weasley Rubeus Hagrid James Sirius Potter Albus Severus Potter Rose Weasley Lily Luna Potter Hugo WeasleySet in 2019 or 2020 ish
","
A short story of Hagrid's life during the ""19 years later"".
"
Dislodged,Thealmostrhetoricalquestion,24492172,01 Jun 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"4,856",1,21,387,45,2812,"
No Archive Warnings ApplyScorpius Malfoy/Albus Severus Potter Astoria Greengrass/Draco MalfoyAlbus Severus Potter Scorpius Malfoy Astoria Greengrass Draco Malfoy Narcissa Black MalfoyFluff Getting Together First Kiss Magic Holidays all of my stories seem to end with kisses there is a very big jellyfish in this and a rambunctious squirrel
","
When the Malfoy family invites Albus on a holiday to their lakeside lodge, he isn't prepared for any of it. Not the squirrels, not the deep-sea creatures that glow, and certainly not the clumsy, accidental kisses.
"
Ron Weasley and the Days that Never Were,Kehwie,24492418,16 Jun 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"18,919",13,80,208,34,3529,"
No Archive Warnings ApplyHermione Granger/Ron Weasley Padma Patil/Ron Weasley (au) Hermione Granger/Harry Potter (au) Luna Lovegood/Ron Weasley (au) Draco Malfoy/Ginny Weasley (au) Hermione Granger & Harry Potter & Ron Weasley Harry Potter/Ginny Weasley (background)Ron Weasley Hermione Granger Harry Potter Luna Lovegood Padma Patil George Weasley Molly WeasleyRon Weasley-centric The Golden Trio Friendship
","
Ron finds a magical object that sends him on a journey through various alternate realities. Along the way, he learns some important lessons about himself and his family and friends.
"
Surprise Birthday Party!,aleysiasnape,24492577,01 Jun 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,829,1,0,15,1,996,"
No Archive Warnings ApplyLuna Lovegood/Draco MalfoyLuna Lovegood Draco Malfoy Severus Snape Lucius Malfoy Narcissa Black MalfoyDraco Malfoy's Birthday Crack Fluff and Smut Established Relationship Alternate Universe
","
Luna is trying to plan a birthday event for Draco.
"
In The Cruel Northern Mist,bexchan,24492586,13 Jan 2022,Explicit,F/M,"Graphic Depictions Of Violence, Rape/Non-Con",Work in Progress,English,"14,583",4,98,372,166,9723,"
Graphic Depictions Of Violence Rape/Non-ConHermione Granger/Draco Malfoy Luna Lovegood/Blaise ZabiniHermione Granger Draco Malfoy Luna Lovegood Blaise Zabini Harry Potter Ron WeasleyWar Harry Potter Epilogue What Epilogue | EWE Post-Hogwarts Angst Romance Secret Relationship Character Death Canonical Character Death
","
Eight years after the Battle of Hogwarts and the war rages on. With three new Horcruxes to destroy and conflict among the Order members, Hermione is desperate to end the war. So desperate that she will seek the help of a reluctant Death Eater. In the cruel northern mist, their clandestine meetings become much more than they were supposed to. Dramione. EWE. War fic.
"
The Artist and the Auror,digthewriter,24492595,01 Jun 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"1,500",1,14,36,4,433,"
No Archive Warnings ApplyPansy Parkinson/Ron WeasleyPost-War Harry Potter Epilogue What Epilogue | EWE Community: rarepair_shorts Magical Portraits short fic
","
Ron needs to get a professional portrait done. He's surprised to find out who the artist is, and is struggling to get along with her.
"
An Affair Now And Then Is Good For A Marriage,Blacksaffron,24492598,01 Jun 2020,Explicit,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"2,736",1,6,52,13,929,"
Creator Chose Not To Use Archive WarningsHermione Granger/Ron Weasley Hermione Granger/?Hermione Granger Ron Weasley Ginny Weasley Harry PotterMarriage Love Long-Term Relationship(s) Sexual Frustration Secrets Muggle Technology
", 
May It Be  – Potter Chronicles,Oakel,24492715,01 Jun 2020,Mature,F/M,No Archive Warnings Apply,Complete Work,English,"5,263",1,1,81,18,3666,"
No Archive Warnings ApplyDaphne Greengrass/Harry Potter Tracey Davis/Blaise ZabiniFatherhood Insecurity Friendship/Love Border collie
","
A Potter Chronicles Story - Three years on from the battle of Hogwarts, Harry battles with his inner demons after receiving the biggest news of his young life. Sequel of ""On a Night Like This"" but can be read in any order. Rated M for Language and sexual themes. Music theme is Enya - May It Be.
"
Dystopia,bratchet,24492718,03 Jun 2020,Explicit,M/M,Rape/Non-Con,Work in Progress,English,"5,834",3,3,11,1,963,"
Rape/Non-ConDraco Malfoy/Harry PotterDraco Malfoy Harry Potter Hermione Granger Ron WeasleyMaster/Pet Angst Brutality Emotional/Psychological Abuse Physical Abuse It'll get better No Romance Protectiveness Anal It Gets Worse Before It Gets Better Suicide Attempt toxic Twisted Type of Love Caretaking Confrontations
","
The war is still going on, but Draco is no longer on Voldemort's side.
"
Slytherin Chocolate Birthday,aleysiasnape,24492943,01 Jun 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,447,1,0,8,0,187,"
No Archive Warnings ApplyDraco Malfoy/Pansy ParkinsonDraco Malfoy Pansy Parkinson Lucius Malfoy Severus SnapeDraco Malfoy's Birthday Fluff Established Relationship Alternate Universe
","
Pansy prepares a surprise gift for Draco's birthday.
"
The Pilot Purgatory Program,Sharkeygirl,24493372,02 Apr 2021,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"222,459",122,1077,351,47,21246,"
Creator Chose Not To Use Archive WarningsHermione Granger/Severus Snape Luna Lovegood/Harry Potter Draco Malfoy/Ginny WeasleySeverus Snape Hermione Granger Sirius Black OC - Character Harry Potter Luna Lovegood Cormac McLaggen Draco Malfoy Ginny Weasley Ron Weasley Lavender Brown Rita SkeeterPurgatory Spirits La Divina Commedia | The Divine Comedy References greek philosophy - Freeform Dogma (1999) References Severus Snape Dies Potions Books Sexual Harassment Spirit Guides Redemption Cooking Lessons
","
Even in death, Severus Snape is not guaranteed peace. In order to reach heaven, he must complete the task of helping a former acquaintance find a sense of well being. The catch? This former acquaintance is Hermione Granger. The bigger catch? He must work with a former tormenter to accomplish his goal.Can Severus succeed in his mission, or will the afterlife prove even more difficult to navigate than his earthly life?
"
Ocean stories,KazOfScotland,24493378,06 Jun 2020,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,180",3,0,6,0,142,"
Creator Chose Not To Use Archive WarningsCharlie Weasley/Oliver WoodCharlie Weasley Oliver WoodAlternate Universe - Military AU - muggles
","
Response to two prompts that I have received over the last two days that have linked into this small AU.
"
A Month of Perfect WOLFSTAR Drabbles,Saraste,24493393,29 Jun 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Work in Progress,English,"2,391",24,36,33,4,746,"
No Archive Warnings ApplySirius Black/Remus LupinSirius Black Remus LupinA month of wolfstar Drabble Collection
","
A drabble (100 words, exact) a day for the month of June, 2020. Prompts generated through Random Word Generator.
June 1st: prompt: serious. Maurauders era Hogwarts. Fluff.
"
A Song of Fortune,shaun056,24493615,01 Jun 2020,Teen And Up Audiences,Gen,"Graphic Depictions Of Violence, Major Character Death",Work in Progress,English,"3,128",1,0,0,0,25,"
Graphic Depictions Of Violence Major Character DeathHarry Potter Hermione Granger Ron Weasley Neville LongbottomOriginal Character(s) Ministry of Magic (Harry Potter) Auror Harry Potter Curses Murder Mystery
","
2010. Harry is head of the Auror Department. With paperwork and endless meetings dragging him down, he longs for the day when he can handle a case on his own instead of being stuck in the office. A chance comes however when Nevile calls him to a case that will see him tested to his limit, when his past comes back to haunt him and the future is not as black and white as he'd want.
"
Young Justice Rebirth Volume 3,megamatt09,24493783,03 Aug 2021,Explicit,"F/M, Multi",Choose Not To Use Archive Warnings,Complete Work,English,"249,791",89,9,100,39,26218,"
Creator Chose Not To Use Archive WarningsHarry Potter/Kara Zor-El Harry Potter/Karen Starr Caitlin Fairchild/Harry Potter Dinah Lance/Harry Potter M'gann M'orzz/Harry Potter Artemis Crock/Harry Potter Harry Potter/Zatanna Zatara Diana (Wonder Woman)/Harry Potter Harry Potter/Donna Troy Harry Potter/Thea Queen Nora Darhk/Harry Potter Lena Luthor/Harry Potter Harry Potter/Talia al Ghul Emma Frost/Harry Potter Harry Potter/Shuri Harry Potter/MultiHarry Potter Kara Zor-El Karen Starr Caitlin Fairchild Dinah Lance M'gann M'orzz Artemis Crock Zatanna Zatara Donna Troy Diana (Wonder Woman) Thea Queen Nora Darhk Perdita (DCU) Emma Frost Talia al Ghul Lena Luthor Shuri (Marvel)Harems Lemon Threesome - F/F/M Foursome - F/F/F/M Rule 63 Anal Sex Creampie Alien Invasion
","
With several top Justice League members out of commission, our heroes have to deal with several groups who have their sights set on Earth for their own deadly goals. Harry Potter and Young Justice crossover with other Marvel and DC elements. Harry/Multiple women.
"
Sirius has a boyyyyfrieeeeend,turtles_to_the_max,24493975,01 Jun 2020,Not Rated,M/M,No Archive Warnings Apply,Complete Work,English,"1,049",1,1,102,6,1176,"
No Archive Warnings ApplySirius Black/Remus Lupin Regulus Black & Sirius BlackSeverus Snape Sirius Black Remus Lupin Regulus BlackSirius Black Being an Idiot
","
It's the September after Regulus' never-be-named-again-brother ran away, and Sirius has a boyfriend.And Sirius wants to make VERY sure that Regulus is aware of the fact.
"
You Look the Way I Feel,yourdifferentoctober,24493981,22 Jun 2020,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"108,693",32,662,4544,1120,99566,"
Creator Chose Not To Use Archive WarningsDraco Malfoy/Harry PotterDraco Malfoy Harry Potter Pansy Parkinson Daphne Greengrass Theodore Nott Blaise Zabini Ron Weasley Hermione Granger Millicent Bulstrode Narcissa Black Malfoy Lucius Malfoy Gregory Goyle Horace Slughorn Proudfoot (Harry Potter)Hogwarts Eighth Year Mental Health Issues Getting to Know Each Other Hurt/Comfort Post-Traumatic Stress Disorder - PTSD Hand Jobs Blow Jobs Semi-Public Sex Angst and Fluff and Smut Top Harry Potter Orgasm Delay/Denial First Time Praise Kink Bottom Draco Malfoy Snogging Slow Burn Slow Build Enemies to Lovers Sexual Tension Falling In Love Jealous Harry Potter Possessive Harry Potter
","
Draco returns for his eighth year at Hogwarts in an attempt to salvage whatever he can of his future. His plan: sit as many N.E.W.T.s as possible, distance himself from the Malfoy name, and keep out of trouble. Of course, with his father on trial and at risk of unthinkable punishment, not to mention the anxiety-fueled ""episodes"" that have been plaguing him since summer, the school year doesn't go so smoothly. Especially when Harry Potter keeps seeking him out.
"
"honey, when i'm above the trees (i see this for what it is)",euphoriapotion,24494029,01 Jun 2020,Not Rated,F/M,Graphic Depictions Of Violence,Work in Progress,English,"10,606",1,6,12,5,229,"
Graphic Depictions Of ViolenceJames Potter/Lily Evans Potter Alice Longbottom/Frank Longbottom Regulus Black & Sirius Black Sirius Black & Remus Lupin & Peter Pettigrew & James Potter Petunia Evans Dursley & Lily Evans PotterLily Evans Potter James Potter Sirius Black Remus Lupin Regulus Black Marlene McKinnon Mary Macdonald Peter Pettigrew Albus Dumbledore Severus Snape Bellatrix Black Lestrange Alice Longbottom Frank Longbottom Alastor ""Mad-Eye"" Moody Tom Riddle | Voldemortmarauders lily marlene mary alice and severus are all in one year and thet graduate and try and live their lives during the war which side will they choose? it's not all black and white Rating May Change archive warnings my change
","

The room was dark and cold; several figures wearing black robes stood in a circle around a tall, pale, man, and the giant snake resting in his arms. Their faces were concealed by heavy hoods and their heads were lowered as a gesture of respect. They barely dared to breathe, terrified of missing a single word from their leader's speech.
 “There are many prominent witches and wizards who might join our ranks after the school year ends tomorrow. Watch them when they come home on Saturday and report the results to me,” a cold voice echoed in the silence. They knew that the summer of 1978 would be difficult for them, but they didn't realize how their lives would change once they choose the side. Voldemort is rising and The Order wants to stop him; but will they be able to? The Death Eaters are not going to let them win this war.What will happen to everyone? Will James and Lily survive at the end? Is it possible for Regulus and Sirius to become brothers ever again? Does Snape have a chance for redemption? And what really happened with Peter?Previously titled ""Let Me Hold On To You""
"
Dancing on the Ceiling,Antosha,24494182,01 Jun 2020,Mature,F/M,No Archive Warnings Apply,Complete Work,English,"7,846",1,3,18,2,620,"
No Archive Warnings ApplyLuna Lovegood/Ron Weasley Neville Longbottom & Luna Lovegood Luna Lovegood & Ginny Weasley Hermione Granger & Luna Lovegood Luna Lovegood & Harry Potter Harry Potter/Ginny Weasley Hermione Granger/Viktor KrumLuna Lovegood Ginny Weasley Neville Longbottom Hermione Granger Harry Potter Xenophilius Lovegood Ron Weasley Viktor Krum George WeasleyPost-Harry Potter and the Deathly Hallows Smutty Claus 2007 Community: smutty_claus Luna Lovegood's Ceiling Department of Mysteries Six Hextet Friendship/Love Friendship Het Fluff and Smut Canon Compliant Canon Compliant — but... Minor Luna Lovegood/Rolf Scamander Luna Lovegood Being Luna Lovegood POV Luna Lovegood Weddings Harry and Ginny's wedding Past Hermione Granger/Ron Weasley Minor Lee Jordan/George Weasley Implied Slash
","
""What appeared to be fine golden chains wove around the pictures, linking them together, but after examining them for a minute or so, Harry realized that the chains were actually one word repeated a thousand times in golden ink: friends... friends... friends..."" — Harry Potter and the Deathly Hallows, Ch. 21, ""The Tale of the Three Brothers""
"
The Unexpected Guardian,Lorz,24494209,21 Nov 2020,Explicit,"F/F, F/M, M/M","Major Character Death, Graphic Depictions Of Violence",Work in Progress,English,"14,662",5,28,60,16,994,"
Major Character Death Graphic Depictions Of ViolenceSeverus Snape/Gideon Prewett (past)Severus Snape Bill Weasley Charlie Weasley Percy Weasley Ron Weasley Fred Weasley George Weasley Ginny Weasley Harry Potter Gideon Prewett (Harry Potter) Remus Lupin
","
Severus Snape was not a good man. He had proved that many years ago. His attempts at redemption had still not been enough for him, and so he was very surprised that someone else had decided that they had certainly been enough for them. He assumed they had been, because other wise he would not be sitting in Albus Dumbledore’s office after the reading of Arthur and Molly Weasley’s wills, in which they had named him guardian for their children.  All of their children.
"
The Tale of Two Serpents,Ellaaine,24494260,10 Feb 2022,Teen And Up Audiences,F/F,Underage,Work in Progress,English,"17,386",5,1,6,2,251,"
Underageoriginal female characters - RelationshipNymphadora Tonks Bellatrix Black Lestrange Narcissa Black Malfoy Original Black Family Characters (Harry Potter)Slow Burn Healers Good Slytherins Romance Femslash Age Difference Harry Potter References Lesbian Character Non-Canon Relationship queer Harry Potter queer
","
Some queer look at Harry Potter Universe. Story about love in times of darkness between Nashira Black, daughter of Bellatrix Lestrange and Evangeline Derwent, the Healer and descendant of the famous Dilys Derwent. Set during The Order Of The Phoenix, a well-known story rewritten from the perspective of a a slightly rebellious Slytherin girl and her two best friends, Tena Potts and Colten Skeers. There is love, there is friendship, there are intrigues and secrets hidden by members of The Order. Oh and there will be no shortage of upsetting Umbridge F/F AU
"
A moment can last a lifetime,Tinkerbell2232,24494434,01 Jun 2020,Not Rated,"F/M, M/M",Choose Not To Use Archive Warnings,Work in Progress,English,791,1,0,3,0,58,"
Creator Chose Not To Use Archive WarningsSirius Black/Remus LupinJames Potter Sirius Black Remus Lupin Harry Potter Hermione Granger Minerva McGonagall
", 
Early Morning,bratchet,24494710,01 Jun 2020,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,342,1,9,104,7,1350,"
Creator Chose Not To Use Archive WarningsDraco Malfoy/Harry PotterDraco Malfoy Harry PotterFluff Lazy Mornings Sleepy Cuddles
","
A morning where Draco is already awake, and Harry is a sleepy boy.
"
Lazy Saturday,alleychaton,24494848,01 Jun 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,900,1,3,50,2,677,"
No Archive Warnings ApplyMurphy McNully/Player CharacterMurphy McNully Player Character (Hogwarts Mystery) Skye Parkin Rowan Khanna Charlie Weasley Bill Weasley Nymphadora Tonks Orion Amari Tulip Karasu Penny Haywood Barnaby Lee Andre EgwuHogwarts Breakfast Lazy Mornings Established Relationship Short & Sweet Tooth-Rotting Fluff Fluff without Plot Guilty Pleasures McNully Needs Love Ravenclaw Slice of Life Quidditch friends meets Curse-breakers moment of peace Drabble
","
Do regular students at Hogwarts worry about classes? Do they just enjoy the company of their friends? The bespectacled redhead felt a gentle press against her temple. She turned to press herself into the familiar warmth of Murphy. It was small things like this that she loved about mealtimes. It didn't matter though; they were her menagerie of friends. The people who kept her sane and apparently, the people she kept sane.
"
The Weather Outside is Frightful,onyxjay,24494890,01 Jun 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,396,1,3,24,2,479,"
No Archive Warnings ApplyHermione Granger/Ron WeasleyHermione Granger Ron WeasleyRon Weasley is a Good Friend well boyfriend Fluff
","
Hermione goes out in a blizzard against her better judgement; Ron is exasperated but takes care of her
"
I Can't Tell Her,accio_spaceman,24494899,24 Jul 2014,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,300,1,0,3,0,100,"
No Archive Warnings ApplyRemus Lupin/Nymphadora TonksRemus Lupin Nymphadora Tonks
","
He couldn't tell her- it would ruin everything. But can he stop himself?
Cross-posted from FFN.
"
Names Matter,accio_spaceman,24495019,24 Jul 2014,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,239,1,0,0,0,4,"
No Archive Warnings ApplyNymphadora TonksMeta on the importance of names
","
Names are important, and they can have a huge influence on our personality and behaviour. No-one knew this better than Nymphadora Tonks.Cross-posted from FFN.
"
The Worst Birthday,MissCordeliaBlythe,24495025,01 Jun 2020,Mature,F/M,No Archive Warnings Apply,Complete Work,English,"1,495",1,1,6,1,140,"
No Archive Warnings ApplyLavender Brown/Draco MalfoyDraco Malfoy Lavender Brown
","
Draco is have a terrible birthday when he runs into Lavender Brown will things turns out better?
"
Loving Is Easy,inkedstarlight,24495127,01 Jun 2020,Teen And Up Audiences,"F/F, F/M, M/M",No Archive Warnings Apply,Complete Work,English,"3,793",1,5,64,4,398,"
No Archive Warnings ApplyLuna Lovegood/Ginny Weasley Seamus Finnigan/Dean Thomas Hermione Granger/Ron WeasleyGinny Weasley Luna Lovegood Seamus Finnigan Dean Thomas Hermione Granger Ron Weasley Harry Potter Neville Longbottom Molly Weasleylinny - Freeform Alternate Universe - Modern Setting Modern Era Mild Sexual Content Fluff Alternate Universe - Non-Magical
","
Punk Ginny and Indie Luna meet at a music festival (prompt from @shouttogether on Tumblr, but I believe they're now @heavenhelpsus, please correct me if I'm wrong!) A whole lotta Linny fluff
"
Grammar School,HissyTheDangerNoodle,24495451,24 Jun 2020,Mature,F/M,Choose Not To Use Archive Warnings,Work in Progress,English,"27,237",8,101,452,136,6620,"
Creator Chose Not To Use Archive WarningsPetunia Evans Dursley/Severus SnapeSeverus Snape Petunia Evans Dursley Tobias Snape Eileen Prince OMCs James Potter Lily Evans Potter Mr Evans (Harry Potter) Mrs Evans (Harry Potter)Misogyny Implied/Referenced Domestic Violence Smoking Threats of Violence Mild Language Magical prejudice Implied/Referenced Homophobia Period-Typical Homophobia fantasy slurs Period Typical Attitudes Period-Typical Racism Period-Typical Sexism 1970s implied/referenced racism (not graphic not glorified)
","
When Minerva McGonagall appears at Spinners End she does not give the eleven year old half blood there a good impression of Hogwarts, so he doesn't go. Not when he has a better options.#TransLivesMatter #BlackLivesMatter
"
Life as a Diary,JTR01,24495985,01 Jun 2020,General Audiences,No category,No Archive Warnings Apply,Complete Work,English,"1,526",1,0,5,1,75,"
No Archive Warnings ApplyDiary Tom RiddleIsolation
","
Tom Riddle thinks about his life as a diary and his resentment towards Voldemort, the man responsible for his existence.
"
Pride...Before You Fall,JessicaDoom,24495997,29 Jun 2020,Mature,M/M,No Archive Warnings Apply,Work in Progress,English,"32,681",25,77,144,27,3497,"
No Archive Warnings ApplyDraco Malfoy/Harry Potter Astoria Greengrass & Draco MalfoyHarry Potter Draco Malfoy Astoria Greengrass Hermione Granger Luna LovegoodPride Gay Pride Sexual Identity Ficlet Collection Drabble Sequence Coming Out Pride Advent Advent Challenge Virgin Harry Potter Implied/Referenced Homophobia Hand Jobs First Time Harry is a Mess Y'all
","
After everything he'd gone through, all Harry wanted was to live a normal life. He didn't want there to be anything extraordinary about him, not one bit. He didn't want to make the papers anymore. He didn't want his name laced into anyone's rumours or gossip. All he wanted was to be at peace for once in his bloody miserable life.When Harry Potter finally finds himself ready to come out, it starts to feel like life is giving him more questions than answers. The last place he expects to find any sort of solace is at Draco Malfoy's doorstep. But something about Malfoy just...feels like all those little missing pieces of himself are coming together in a way he just doesn't think he can ignore.A 30-day Pride-focused Drarry challenge.
"
Eighty Three Days,sunlightdaydream,24496417,01 Jun 2020,Mature,F/M,No Archive Warnings Apply,Complete Work,English,"1,949",1,12,19,1,311,"
No Archive Warnings ApplyGabrielle Delacour/Ron WeasleyGabrielle Delacour Ron Weasley Charlie Weasley Bill Weasley Fleur DelacourAlternate Universe - Canon Divergence Second War with Voldemort War Hurt/Comfort Healing Romance Drinking Feelings Moving On Happy Ending Pining
","
Love isn't always easy, especially if there is a war, but fate always finds its way.
"
Two Hawks Hunting,GoldsJRZGirl,24496546,20 Sep 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"325,444",63,157,259,42,15581,"
Creator Chose Not To Use Archive WarningsHarry Potter/Original Female Character(s)Harry Potter Severus Snape Tom Riddle | Voldemort Albus Dumbledore Sirius Black Remus Lupin Lucius Malfoy Original Female Character(s) Original Male Character(s) Original Child Character(s) Bellatrix Black Lestrange Hermione Granger Vincent Crabbe Marietta Edgecombe Susan Bones Arthur Weasley Molly Weasley Bill Weasley Sybill Trelawney Charlie Weasley Kingsley Shacklebolt Alastor ""Mad-Eye"" Moody Original Muggle Character(s) Minerva McGonagall Ron WeasleyAnimagus Harry Potter Animagus Severus Snape Adventure & Romance Angst and Hurt/Comfort Horcrux Hunting Mentor Severus Snape Guardian Severus Snape Blood Adoption (Harry Potter) Implied/Referenced Child Abuse Implied/Referenced Self-Harm Implied Sexual Content Implied/Referenced Torture Final Battle Harry Needs a Hug Good Severus Snape Severus Snape Needs a Hug Underage Substance Use Night Terrors Claustrophobia Nictophobia Healing counseling sessions Violence Epic Battles Written Pre-Half Blood Prince Not Canon Compliant - Harry Potter and the Deathly Hallows
","
Sequel to Broken Wings! Harry & Severus quest for the remaining Horcruxes. Can they fulfill the prophecy of Two Hawks Hunting and destroy Voldemort forever? And if they do will Harry ever get to be a normal teenager living with Snape? Read and find out! AU, pre-HBP, HBP/DH noncompliant! No slash, mentor/guardian fic!
"
"Dearest Harry,",LuciusIII (orphan_account),24496609,01 Jun 2020,Not Rated,F/M,No Archive Warnings Apply,Complete Work,English,582,1,4,40,1,416,"
No Archive Warnings ApplyJames Potter/Lily Evans PotterHarry Potter James Potter Lily Evans Potter Remus Lupin Sirius Black Peter Pettigrew Severus Snape Albus DumbledoreLetter Marauders era Sort Of
","
A letter arrives on Harry's table in his last year at Hogwarts. It's from his father.
"
"Something Special, Something Sacred",RoonilWazlibMalfoy,24496648,11 Jul 2020,Explicit,M/M,No Archive Warnings Apply,Complete Work,English,"32,421",12,60,809,196,16955,"
No Archive Warnings ApplyLucius Malfoy/Harry PotterHarry Potter Lucius Malfoy Hermione Granger Ron Weasley Luna Lovegood Weasley Family (Harry Potter) Original House-Elf Character(s)Daddy Kink Post-War Not Epilogue Compliant BDSM Sex Club Anal Sex Anal Fingering Spanking Consent Fluff and Smut Good Lucius Malfoy Top Lucius Malfoy Bottom Harry Potter Praise Kink Come Eating Marking Public Humiliation Subdrop Implied/Referenced Alcohol Abuse/Alcoholism Rimming Collars Songfic Felching Come Sharing First Time Bottoming First Time face fucking Blow Jobs Hand Jobs Fisting mention Weight Loss Mentions Bruises mentions of physical violence Depression self-destructive thoughts Whipping/Flogging Mentions Bondage mentions Bereavement (Non-Canonical and Canonical) HP Daddy Fest 2020
","
Lucius Malfoy's life had fallen apart after the war. In an attempt to curb his desperate loneliness, he ventured into the muggle world. There he found more than he could have ever dreamed.Harry Potter was a mess after the war. Isolated from everyone he had ever known and loved, he ventured into the muggle world to lose himself. Instead, he found himself and so much more.Or how Lucius and Harry learned that sometimes being different is exactly what you need to be sane.
"
Wit Beyond Measure,Antosha,24496687,01 Jun 2020,Teen And Up Audiences,"F/M, Gen",No Archive Warnings Apply,Complete Work,English,"4,232",1,0,6,2,110,"
No Archive Warnings ApplyLuna Lovegood Neville Longbottom Hermione Granger Harry Potter Tom Riddle | VoldemortPost-Harry Potter and the Deathly Hallows The Deathly Hallows Horcruxes Tom Riddle's Ghost Grief/Mourning Past Character Death Unspeakable Luna Lovegood Department of Mysteries Hogwarts Forbidden Forest Magizoologist Luna Lovegood Ministry of Magic (Harry Potter) Auror Harry Potter Friendship Loneliness Rowena Ravenclaw's Diadem Depression We are born alone we die alone Ravenclaw Luna Lovegood Veil of Death (Harry Potter) Hitchhiker's Guide to the Galaxy References Someone to Love References
","
We are born alone.
"
we go down together,atramentias,24496882,01 Jun 2020,General Audiences,Gen,Choose Not To Use Archive Warnings,Work in Progress,English,"1,064",1,40,233,69,3291,"
Creator Chose Not To Use Archive WarningsHermione Granger & Harry Potter & Ron Weasley Hermione Granger/Ron Weasley James Potter/Lily Evans PotterHarry Potter Ron Weasley Hermione Granger Tom Riddle | Voldemort Teddy Lupin Remus Lupin Lily Evans Potter James Potter Sirius Black Peter Pettigrew Albus Dumbledore Marauders (Harry Potter) Ginny Weasley Fred Weasley George Weasley Molly Weasley Arthur Weasley Percy Weasley Bill Weasley Severus Snape Alastor ""Mad-Eye"" Moody Draco Malfoy Lucius Malfoy Narcissa Black Malfoy Minerva McGonagall Andromeda Black Tonks Nymphadora Tonks Neville LongbottomAlternate Universe Alternate Universe - Canon Divergence The Golden Trio Era (Harry Potter) The Golden Trio Dimension Travel Canon Divergence - Post-Harry Potter and the Deathly Hallows Everyone Is Alive muggles revolted shortly after battle of hogwarts Post-Battle of Hogwarts Battle of Hogwarts Statute of Secrecy (Harry Potter) is no more statute of secrecy who? Muggles amirite? Alternate Universe - Time Travel Time Travel i mean i guess Time Travel Fix-It
","
The three of them met each other’s eyes, and nodded; this is it. They turned back to look at the door and Ron took a deep breath.“If we go down,” Harry started.“... then we go down together.” Ron continued with a glint in his tired eyes.Hermione nodded with a small smile, “Let’s show them we are better.”At that moment, a blinding sound erupted from the heavily bolted, heavily blocked door, and all three snapped back into a fighting stance. ORIn which the Golden Trio are thrown into a much more peaceful dimension where everyone is alive.
"
